expiry_date;reference_id;control_timestamp;allee
01/05/2022;3,56007E+12;2021-02-01 15:15:48+00;Memet
14/10/2020;7,31117E+12;2020-12-14 16:50:37.97+00;Semi conserves
15/11/2020;3,03868E+12;2020-12-14 16:51:28.162+00;Semi conserves
17/02/2022;3,24539E+12;2021-05-04 13:53:48.522+00;Semi conserves
01/08/2022;3,17569E+12;2021-05-04 13:53:20.63+00;Semi conserves
30/04/2021;3,17569E+12;2021-05-04 13:54:09.633+00;Semi conserves
31/08/2022;3,17569E+12;2021-05-04 13:54:48.85+00;Semi conserves
02/01/1970;3,26233E+12;2021-05-10 13:16:05.58+00;Semi conserves
30/04/2022;3,24541E+12;2021-05-31 15:32:24.043+00;Semi conserves
30/11/2021;3,44043E+12;2021-06-07 13:58:34.019+00;Semi conserves
30/12/2021;3,44043E+12;2021-07-16 16:58:04.675+00;Semi conserves
31/05/2022;3,56007E+12;2021-08-02 20:09:33.721+00;Semi conserves
30/04/2022;3,56007E+12;2021-09-01 16:12:08.291+00;Semi conserves
03/01/1970;3,29207E+12;2021-10-02 17:39:00.585+00;Semi conserves
03/01/1970;3,29207E+12;2021-10-02 17:39:03.128+00;Semi conserves
18/09/2021;3,24541E+12;2021-10-02 17:39:17.46+00;Semi conserves
15/03/2023;7,6121E+12;2021-05-18 10:02:49.918+00;R14 BIO VITALITE
30/04/2022;3,17568E+12;2021-05-18 10:04:51.187+00;R14 BIO VITALITE
31/01/2022;3,17568E+12;2021-05-18 10:05:42.392+00;R14 BIO VITALITE
15/04/2022;3,17568E+12;2021-05-18 10:06:20.184+00;R14 BIO VITALITE
31/05/2022;7,6121E+12;2021-05-18 10:06:53.162+00;R14 BIO VITALITE
31/01/2022;7,6121E+12;2021-05-18 10:08:14.127+00;R14 BIO VITALITE
31/01/2022;3,17568E+12;2021-05-18 10:15:06.529+00;R14 BIO VITALITE
31/07/2022;3,17568E+12;2021-05-18 10:12:22.914+00;R14 BIO VITALITE
31/01/2022;3,17568E+12;2021-05-18 10:13:57.385+00;R14 BIO VITALITE
05/06/2022;3,22982E+12;2021-05-18 10:17:06.453+00;R14 BIO VITALITE
22/02/2022;3,17568E+12;2021-05-18 10:18:05.627+00;R14 BIO VITALITE
19/12/2021;3,17568E+12;2021-05-18 10:20:54.206+00;R14 BIO VITALITE
14/12/2021;3,24541E+12;2021-05-18 10:22:33.304+00;R14 BIO VITALITE
27/01/2022;3,24541E+12;2021-05-18 10:24:12.254+00;R14 BIO VITALITE
07/01/2022;3,17568E+12;2021-05-18 10:28:25.917+00;R14 BIO VITALITE
30/11/2021;3,17568E+12;2021-05-18 10:34:12.983+00;R14 BIO VITALITE
